Gender,Months,Growth_rate,BMI_Level,PCT,Quantile,Weight,Protein_Mass,Mineral_Mass,Soft_Lean_Mass,Body_Fat_Mass,Skeletal_Muscle_Mass,BMR,Student_ID,Age,Target_Age,Target_Months,Height,Target_Height,PW,MW,SW,BW,SMW,SS,BS,Ages,Target_Ages,nobs
1,127,0.0483985014367293,1.0,2.0,0.4935282134848862,38.3,5.7,2.0,27.3,9.0,15.2,994.0,8607.0,10.0,11.0,139.0,142.1,150.4,0.1494565217391304,0.0535714285714285,0.7191283292978209,0.2389078498293515,0.3975308641975309,0.555956678700361,0.334448160535117,10.0,11.0,5350
1,128,0.054904831625183004,1.0,2.0,0.429125321681726,38.1,5.7,2.1,27.6,9.0,15.3,1003.0,9052.0,10.0,11.0,141.0,141.6,150.8,0.1503957783641161,0.0538461538461538,0.7192982456140351,0.2341920374707259,0.4010025062656642,0.5559440559440559,0.3225806451612903,10.0,11.0,1941
1,129,0.04175589519717393,1.0,3.0,0.5459366466773238,40.3,5.9,2.1,28.3,10.0,15.8,1018.0,13594.0,10.0,11.0,141.0,143.9,151.0,0.1489361702127659,0.0532687651331719,0.7126436781609197,0.245164823422557,0.3964646464646464,0.5586206896551724,0.3435114503816794,10.0,11.0,11108
1,130,0.04856752003126852,1.0,3.0,0.5711731731583871,40.5,6.0,2.2,28.7,10.0,16.1,1029.0,15208.0,10.0,11.0,142.0,144.8,152.8,0.1498708010335917,0.0532687651331719,0.7193396226415094,0.2383793612910558,0.4015748031496063,0.559748427672956,0.3317535545023696,10.0,11.0,13484
1,131,0.037747920665387014,1.0,3.0,0.5461089490554317,39.5,6.0,2.2,28.7,9.0,16.1,1029.0,14026.0,10.0,11.0,141.0,144.9,151.5,0.1525,0.0541237113402061,0.731457800511509,0.2236421725239616,0.4084084084084084,0.5598591549295775,0.3055555555555556,10.0,11.0,13993
1,132,0.04128277122988011,1.0,3.0,0.5438138678372323,40.3,6.1,2.2,29.1,9.0,16.3,1039.0,9875.0,11.0,11.0,143.0,145.4,152.9,0.1530343007915567,0.05420870473764975,0.7340720221606648,0.2216748768472906,0.4096638655462185,0.5602836879432624,0.3018867924528302,11.0,11.0,14294
1,133,0.04509663564781685,1.0,3.0,0.5537702592542244,41.2,6.2,2.2,29.8,10.0,16.8,1054.0,7313.0,11.0,12.0,145.0,146.1,154.0,0.1507537688442211,0.0531645569620253,0.7228260869565218,0.2368421052631578,0.40608228980322,0.5614617940199335,0.3257328990228013,11.0,12.0,3803
1,134,0.04654545454545467,1.0,3.0,0.5514657743531232,41.7,6.2,2.2,29.7,10.0,16.7,1052.0,10788.0,11.0,12.0,146.0,146.6,154.7,0.1507537688442211,0.0536585365853658,0.7243107769423559,0.2316602316602316,0.406,0.5616883116883117,0.3202846975088967,11.0,12.0,22647
1,135,0.0391319539391729,1.0,3.0,0.5187606003619987,41.9,6.2,2.2,29.8,9.0,16.8,1053.0,10722.0,11.0,12.0,146.0,146.6,153.7,0.1506849315068493,0.0538461538461538,0.7230046948356808,0.2325581395348837,0.4063548151887374,0.5625000000000001,0.3225806451612903,11.0,12.0,10618
1,136,0.04846115680113072,1.0,3.0,0.5468549861688672,42.9,6.3,2.3,30.3,10.0,17.1,1066.0,10492.0,11.0,12.0,147.0,147.6,156.8,0.1502463054187192,0.0542168674698795,0.7220630372492837,0.2332361516034985,0.4053868521432781,0.5638297872340425,0.3225806451612903,11.0,12.0,12100
1,137,0.043813551408758644,1.0,3.0,0.5506091546704187,43.4,6.4,2.3,30.7,10.0,17.3,1075.0,10819.5,11.0,12.0,147.0,148.2,156.7,0.150190114068441,0.0537848605577689,0.72,0.2356020942408376,0.4054669703872438,0.5645161290322581,0.326797385620915,11.0,12.0,16070
1,138,0.04712041884816753,1.0,2.0,0.4623780193489287,41.2,6.3,2.3,30.3,8.0,17.1,1066.0,9082.0,11.0,12.0,149.0,147.3,155.7,0.1563517915309446,0.0557184750733137,0.75,0.1994301994301994,0.4213836477987421,0.5632911392405063,0.2653061224489796,11.0,12.0,1841
1,139,0.041612483745123496,1.0,3.0,0.5112477979764048,43.0,6.4,2.3,30.9,10.0,17.4,1080.0,9183.0,11.0,12.0,148.0,148.7,157.3,0.1526315789473684,0.0544662309368191,0.7312614259597806,0.2267573696145124,0.4110854503464203,0.5647840531561461,0.3095975232198142,11.0,12.0,4037
1,140,0.043460916796662086,1.0,2.0,0.4773625471951079,42.650000000000006,6.5,2.4,31.5,9.0,17.8,1092.0,9108.0,11.0,12.0,150.0,148.7,157.4,0.1548672566371681,0.0556900726392251,0.7423312883435582,0.2122015915119363,0.4189814814814815,0.5662650602409638,0.2865329512893983,11.0,12.0,1494
1,141,0.02877697841726623,1.0,3.0,0.5826635492773007,45.3,6.8,2.4,32.6,10.0,18.5,1117.0,13663.0,11.0,12.0,148.0,151.1,157.4,0.1528497409326425,0.0547445255474452,0.7359307359307359,0.2195121951219512,0.4152380952380952,0.5676470588235294,0.2985074626865671,11.0,12.0,6893
1,142,0.032689979512013356,1.0,3.0,0.5831372879925887,46.0,6.9,2.4,33.2,10.0,18.8,1130.0,11613.0,11.0,12.0,149.0,151.7,159.7,0.1528603770043753,0.0544871794871794,0.7332502078137988,0.2207505518763797,0.416,0.5683229813664596,0.3007518796992481,11.0,12.0,9244
1,143,0.02355316285329745,1.0,3.0,0.600381899271902,46.1,7.0,2.5,33.7,9.0,19.2,1142.0,15205.0,11.0,12.0,148.0,152.6,158.4,0.1555023923444976,0.0554216867469879,0.746987951807229,0.2077151335311572,0.4238281249999999,0.5692771084337348,0.2777777777777778,11.0,12.0,8581
1,144,0.023529174921066875,1.0,3.0,0.5913548151127508,46.2,7.1,2.5,34.2,9.0,19.5,1154.0,10905.0,12.0,12.0,149.0,153.05,159.6,0.1555555555555555,0.0552763819095477,0.7467362924281985,0.2088772845953002,0.4228571428571429,0.5696594427244582,0.2797202797202797,12.0,12.0,8356
1,145,0.03274394237066147,1.0,3.0,0.6364843419948103,46.8,7.2,2.5,34.3,9.0,19.5,1156.0,7450.0,12.0,12.0,153.0,154.5,161.5,0.1550925925925926,0.0551724137931034,0.7422969187675069,0.2150537634408602,0.4193548387096774,0.5694822888283378,0.2868852459016394,12.0,12.0,2387
1,146,0.03499835111694527,1.0,3.0,0.5925986818259512,47.9,7.3,2.6,34.9,10.0,20.0,1170.0,10871.0,12.0,12.0,154.0,154.3,162.5,0.15530373457284818,0.0553846153846153,0.7472222222222222,0.2083333333333333,0.425,0.5710306406685237,0.2787456445993031,12.0,12.0,13268
1,147,0.01776909972207863,1.0,3.0,0.5864094714138599,48.4,7.4,2.6,35.5,10.0,20.3,1185.0,9986.0,12.0,12.0,151.0,154.8,161.0,0.1545454545454545,0.0554016620498614,0.7424812030075187,0.2132196162046908,0.4244604316546763,0.5722070844686648,0.28668127753806816,12.0,12.0,4856
